event_id,field_changed,v2_1_value,v2_2_value,change_reason,evidence_reference
EVT-IMCA-0018,iogp_rules,Driving; Safe mechanical lifting; Work authorization; Working at height,Bypassing safety controls; Driving; Safe mechanical lifting; Working at height,Two-pass semantic re-evaluation with exact character offset validation,char_2331:2510
EVT-IMCA-0019,iogp_rules,NONE,Bypassing safety controls,Two-pass semantic re-evaluation with exact character offset validation,char_1837:1998
EVT-IMCA-0021,iogp_rules,Safe mechanical lifting,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_350:357
EVT-IMCA-0023,iogp_rules,Energy isolation; Line of fire; Work authorization,Bypassing safety controls; Line of fire; Work authorization,Two-pass semantic re-evaluation with exact character offset validation,char_2792:2966
EVT-IMCA-0024,iogp_rules,Energy isolation; Working at height,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_494:502
EVT-IMCA-0025,iogp_rules,Energy isolation; Hot work,Energy isolation,Two-pass semantic re-evaluation with exact character offset validation,char_2289:2434
EVT-IMCA-0026,iogp_rules,Hot work,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_1047:1056
EVT-IMCA-0027,iogp_rules,Hot work,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_225:232
EVT-IMCA-0028,iogp_rules,Safe mechanical lifting; Line of fire; Safe mechanical lifting,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_1796:1806
EVT-IMCA-0030,iogp_rules,NONE,Bypassing safety controls,Two-pass semantic re-evaluation with exact character offset validation,char_2198:2359
EVT-IMCA-0031,iogp_rules,Safe mechanical lifting,Bypassing safety controls,Two-pass semantic re-evaluation with exact character offset validation,char_2623:2784
EVT-IMCA-0032,iogp_rules,Safe mechanical lifting,NONE,Two-pass semantic re-evaluation with exact character offset validation,NONE
EVT-IMCA-0033,iogp_rules,Line of fire; Work authorization,Line of fire,Two-pass semantic re-evaluation with exact character offset validation,char_2236:2245
EVT-IMCA-0036,iogp_rules,Work authorization,NONE,Two-pass semantic re-evaluation with exact character offset validation,NONE
EVT-IMCA-0038,iogp_rules,Line of fire; Safe mechanical lifting; Work authorization; Working at height,NONE,Two-pass semantic re-evaluation with exact character offset validation,NONE
EVT-IMCA-0039,iogp_rules,Hot work; Line of fire,Line of fire,Two-pass semantic re-evaluation with exact character offset validation,char_80:328
EVT-IMCA-0041,iogp_rules,Driving; Line of fire; Safe mechanical lifting; Work authorization,Driving; Line of fire,Two-pass semantic re-evaluation with exact character offset validation,char_2034:2041
EVT-IMCA-0042,iogp_rules,Line of fire,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_0:142
EVT-IMCA-0044,iogp_rules,Line of fire; Safe mechanical lifting; Working at height,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_1483:1488
EVT-IMCA-0045,iogp_rules,Energy isolation,NONE,Two-pass semantic re-evaluation with exact character offset validation,NONE
EVT-IMCA-0046,iogp_rules,NONE,Bypassing safety controls,Two-pass semantic re-evaluation with exact character offset validation,char_2145:2306
EVT-IMCA-0047,iogp_rules,Safe mechanical lifting; Work authorization; Working at height,Bypassing safety controls; Working at height,Two-pass semantic re-evaluation with exact character offset validation,char_3212:3391
EVT-IMCA-0048,iogp_rules,Safe mechanical lifting; Safe mechanical lifting; Work authorization,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_1421:1565
EVT-IMCA-0049,iogp_rules,Line of fire; Safe mechanical lifting; Work authorization,Safe mechanical lifting; Work authorization,Two-pass semantic re-evaluation with exact character offset validation,char_2232:2240
EVT-IMCA-0050,iogp_rules,Driving; Line of fire; Work authorization,Line of fire,Two-pass semantic re-evaluation with exact character offset validation,char_375:380
EVT-IMCA-0051,iogp_rules,Line of fire; Safe mechanical lifting; Work authorization,Line of fire; Work authorization,Two-pass semantic re-evaluation with exact character offset validation,char_2489:2501
EVT-IMCA-0053,iogp_rules,NONE,Bypassing safety controls,Two-pass semantic re-evaluation with exact character offset validation,char_2094:2255
EVT-IMCA-0054,iogp_rules,Safe mechanical lifting; Working at height,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_101:229
EVT-IMCA-0055,iogp_rules,Work authorization,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_0:103
EVT-IMCA-0058,iogp_rules,Line of fire; Safe mechanical lifting,Line of fire,Two-pass semantic re-evaluation with exact character offset validation,char_2272:2444
EVT-IMCA-0061,iogp_rules,Line of fire; Safe mechanical lifting; Work authorization,Line of fire; Work authorization,Two-pass semantic re-evaluation with exact character offset validation,char_3216:3225
EVT-IMCA-0062,iogp_rules,Confined space,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_255:261
EVT-IMCA-0063,iogp_rules,Line of fire; Working at height,Working at height,Two-pass semantic re-evaluation with exact character offset validation,char_1676:1682
EVT-IMCA-0065,iogp_rules,Hot work,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_2687:2696
EVT-IMCA-0068,iogp_rules,Line of fire; Safe mechanical lifting,Safe mechanical lifting,Two-pass semantic re-evaluation with exact character offset validation,char_3964:4220
EVT-IMCA-0070,iogp_rules,Hot work,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_1780:1789
EVT-IMCA-0071,iogp_rules,Hot work; Line of fire; Work authorization,Hot work; Line of fire,Two-pass semantic re-evaluation with exact character offset validation,char_1773:1782
EVT-IMCA-0074,iogp_rules,Safe mechanical lifting; Work authorization,Safe mechanical lifting,Two-pass semantic re-evaluation with exact character offset validation,char_459:465
EVT-IMCA-0078,iogp_rules,Safe mechanical lifting; Line of fire; Safe mechanical lifting,Bypassing safety controls; Line of fire,Two-pass semantic re-evaluation with exact character offset validation,char_4698:4704
EVT-IMCA-0079,iogp_rules,Confined space; Line of fire; Work authorization,Confined space; Line of fire,Two-pass semantic re-evaluation with exact character offset validation,char_1287:1441
EVT-IMCA-0080,iogp_rules,Safe mechanical lifting; Work authorization,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_2481:2490
EVT-IMCA-0083,iogp_rules,NONE,Bypassing safety controls,Two-pass semantic re-evaluation with exact character offset validation,char_2360:2369
EVT-IMCA-0084,iogp_rules,Hot work,Driving; Hot work,Two-pass semantic re-evaluation with exact character offset validation,char_2022:2273
EVT-IMCA-0085,iogp_rules,NONE,Bypassing safety controls,Two-pass semantic re-evaluation with exact character offset validation,char_1668:1827
EVT-IMCA-0086,iogp_rules,Line of fire; Safe mechanical lifting,Safe mechanical lifting,Two-pass semantic re-evaluation with exact character offset validation,char_2043:2057
EVT-IMCA-0088,iogp_rules,Line of fire; Safe mechanical lifting,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_635:640
EVT-IMCA-0089,iogp_rules,Safe mechanical lifting; Line of fire; Safe mechanical lifting,Bypassing safety controls; Line of fire; Safe mechanical lifting,Two-pass semantic re-evaluation with exact character offset validation,char_3378:3576
EVT-IMCA-0091,iogp_rules,Energy isolation,NONE,Two-pass semantic re-evaluation with exact character offset validation,NONE
EVT-IMCA-0092,iogp_rules,Hot work,NONE,Two-pass semantic re-evaluation with exact character offset validation,NONE
EVT-IMCA-0093,iogp_rules,Work authorization,Bypassing safety controls; Work authorization,Two-pass semantic re-evaluation with exact character offset validation,char_1550:1711
EVT-IMCA-0094,iogp_rules,NONE,Bypassing safety controls,Two-pass semantic re-evaluation with exact character offset validation,char_1954:2115
EVT-IMCA-0095,iogp_rules,Energy isolation; Work authorization,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_2601:2610
EVT-IMCA-0099,iogp_rules,Line of fire; Safe mechanical lifting; Work authorization,Bypassing safety controls; Line of fire; Work authorization,Two-pass semantic re-evaluation with exact character offset validation,char_2336:2534
EVT-IMCA-0100,iogp_rules,Energy isolation,Bypassing safety controls,Two-pass semantic re-evaluation with exact character offset validation,char_2102:2280
EVT-IMCA-0101,iogp_rules,Confined space; Work authorization,Confined space,Two-pass semantic re-evaluation with exact character offset validation,char_0:169
EVT-IMCA-0102,iogp_rules,NONE,Work authorization,Two-pass semantic re-evaluation with exact character offset validation,char_360:366
EVT-IMCA-0103,iogp_rules,Safe mechanical lifting,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_816:820
EVT-IMCA-0105,iogp_rules,Energy isolation; Line of fire; Safe mechanical lifting; Work authorization,Bypassing safety controls; Energy isolation; Line of fire; Safe mechanical lifting,Two-pass semantic re-evaluation with exact character offset validation,char_4306:4521
EVT-IMCA-0106,iogp_rules,Energy isolation; Work authorization,Energy isolation,Two-pass semantic re-evaluation with exact character offset validation,char_1062:1070
EVT-IMCA-0108,iogp_rules,Line of fire; Safe mechanical lifting,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_768:782
EVT-IMCA-0110,iogp_rules,Safe mechanical lifting,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_0:37
EVT-IMCA-0111,iogp_rules,Energy isolation; Line of fire; Work authorization,Energy isolation; Line of fire,Two-pass semantic re-evaluation with exact character offset validation,char_2811:2988
EVT-IMCA-0112,iogp_rules,Confined space,NONE,Two-pass semantic re-evaluation with exact character offset validation,NONE
EVT-IMCA-0113,iogp_rules,Line of fire; Safe mechanical lifting; Work authorization,Line of fire; Work authorization,Two-pass semantic re-evaluation with exact character offset validation,char_2363:2372
EVT-IMCA-0114,iogp_rules,Line of fire; Work authorization,Work authorization,Two-pass semantic re-evaluation with exact character offset validation,char_1375:1394
EVT-IMCA-0115,iogp_rules,Safe mechanical lifting; Work authorization,Work authorization,Two-pass semantic re-evaluation with exact character offset validation,char_1474:1733
EVT-IMCA-0116,iogp_rules,Line of fire,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_1317:1323
EVT-IMCA-0118,iogp_rules,Line of fire; Work authorization,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_1021:1165
EVT-IMCA-0119,iogp_rules,Driving; Work authorization,Driving,Two-pass semantic re-evaluation with exact character offset validation,char_1249:1254
EVT-IMCA-0121,iogp_rules,Driving; Line of fire; Safe mechanical lifting,Driving; Line of fire,Two-pass semantic re-evaluation with exact character offset validation,char_717:724
EVT-IMCA-0122,iogp_rules,Line of fire; Safe mechanical lifting,Line of fire,Two-pass semantic re-evaluation with exact character offset validation,char_1831:1979
EVT-IMCA-0123,iogp_rules,Line of fire,Bypassing safety controls; Line of fire,Two-pass semantic re-evaluation with exact character offset validation,char_1952:2126
EVT-IMCA-0124,iogp_rules,Safe mechanical lifting; Line of fire; Safe mechanical lifting; Work authorization,Line of fire; Safe mechanical lifting,Two-pass semantic re-evaluation with exact character offset validation,char_2711:2720
EVT-IMCA-0127,iogp_rules,Driving; Line of fire; Safe mechanical lifting,Driving,Two-pass semantic re-evaluation with exact character offset validation,char_41:232
EVT-IMCA-0129,iogp_rules,Line of fire; Safe mechanical lifting; Work authorization; Working at height,Line of fire; Work authorization,Two-pass semantic re-evaluation with exact character offset validation,char_3142:3149
EVT-IMCA-0130,iogp_rules,Energy isolation; Work authorization,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_555:561
EVT-IMCA-0131,iogp_rules,Energy isolation; Safe mechanical lifting,Energy isolation,Two-pass semantic re-evaluation with exact character offset validation,char_674:683
EVT-IMCA-0134,iogp_rules,Driving; Line of fire; Safe mechanical lifting,Driving; Line of fire,Two-pass semantic re-evaluation with exact character offset validation,char_1377:1383
EVT-IMCA-0135,iogp_rules,Driving; Line of fire; Safe mechanical lifting,Driving; Line of fire,Two-pass semantic re-evaluation with exact character offset validation,char_121:248
EVT-IMCA-0136,iogp_rules,Line of fire,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_0:135
EVT-IMCA-0137,iogp_rules,Energy isolation,Bypassing safety controls; Energy isolation,Two-pass semantic re-evaluation with exact character offset validation,char_2691:2699
EVT-IMCA-0140,iogp_rules,Confined space; Work authorization,Confined space,Two-pass semantic re-evaluation with exact character offset validation,char_0:155
EVT-IMCA-0141,iogp_rules,Driving; Line of fire; Safe mechanical lifting,Driving,Two-pass semantic re-evaluation with exact character offset validation,char_388:394
EVT-IMCA-0142,iogp_rules,Line of fire; Work authorization,Line of fire,Two-pass semantic re-evaluation with exact character offset validation,char_1660:1669
EVT-IMCA-0145,iogp_rules,Safe mechanical lifting; Safe mechanical lifting; Work authorization,Safe mechanical lifting,Two-pass semantic re-evaluation with exact character offset validation,char_0:147
EVT-IMCA-0147,iogp_rules,Driving; Energy isolation,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_1305:1312
EVT-IMCA-0148,iogp_rules,Line of fire; Safe mechanical lifting,Bypassing safety controls; Line of fire,Two-pass semantic re-evaluation with exact character offset validation,char_3137:3311
EVT-IMCA-0149,iogp_rules,Safe mechanical lifting,Bypassing safety controls; Safe mechanical lifting,Two-pass semantic re-evaluation with exact character offset validation,char_2945:3130
EVT-IMCA-0151,iogp_rules,Confined space; Driving; Line of fire; Work authorization,Bypassing safety controls; Confined space; Driving; Line of fire; Work authorization,Two-pass semantic re-evaluation with exact character offset validation,char_1960:2157
EVT-IMCA-0152,iogp_rules,Energy isolation,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_602:611
EVT-IMCA-0154,iogp_rules,Work authorization,Bypassing safety controls,Two-pass semantic re-evaluation with exact character offset validation,char_2791:2952
EVT-IMCA-0156,iogp_rules,Safe mechanical lifting; Safe mechanical lifting,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_754:760
EVT-IMCA-0158,iogp_rules,Safe mechanical lifting; Safe mechanical lifting,Bypassing safety controls,Two-pass semantic re-evaluation with exact character offset validation,char_2262:2447
EVT-IMCA-0159,iogp_rules,Safe mechanical lifting; Line of fire; Safe mechanical lifting; Working at height,Bypassing safety controls; Line of fire; Safe mechanical lifting; Working at height,Two-pass semantic re-evaluation with exact character offset validation,char_573:824
EVT-IMCA-0162,iogp_rules,Line of fire; Safe mechanical lifting,Line of fire,Two-pass semantic re-evaluation with exact character offset validation,char_735:868
EVT-IMCA-0164,iogp_rules,Safe mechanical lifting,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_246:252
EVT-IMCA-0166,iogp_rules,Line of fire; Safe mechanical lifting,Line of fire,Two-pass semantic re-evaluation with exact character offset validation,char_2086:2098
EVT-IMCA-0167,iogp_rules,Line of fire; Safe mechanical lifting; Work authorization; Working at height,Line of fire; Working at height,Two-pass semantic re-evaluation with exact character offset validation,char_675:680
EVT-IMCA-0168,iogp_rules,Safe mechanical lifting,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_1115:1127
EVT-IMCA-0169,iogp_rules,Confined space; Line of fire,Confined space,Two-pass semantic re-evaluation with exact character offset validation,char_1298:1312
EVT-IMCA-0171,iogp_rules,Safe mechanical lifting; Work authorization; Working at height,Bypassing safety controls; Work authorization; Working at height,Two-pass semantic re-evaluation with exact character offset validation,char_2811:2990
EVT-IMCA-0172,iogp_rules,Safe mechanical lifting; Working at height,Working at height,Two-pass semantic re-evaluation with exact character offset validation,char_609:626
EVT-IMCA-0175,iogp_rules,Driving; Safe mechanical lifting,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_419:426
EVT-IMCA-0181,iogp_rules,Confined space; Driving; Hot work; Line of fire; Safe mechanical lifting; Work authorization; Working at height,Bypassing safety controls; Confined space; Driving; Hot work; Line of fire; Safe mechanical lifting; Work authorization; Working at height,Two-pass semantic re-evaluation with exact character offset validation,char_1680:1814
EVT-IMCA-0182,iogp_rules,Line of fire; Safe mechanical lifting,Line of fire,Two-pass semantic re-evaluation with exact character offset validation,char_757:765
EVT-IMCA-0183,iogp_rules,Safe mechanical lifting; Work authorization,Bypassing safety controls; Safe mechanical lifting,Two-pass semantic re-evaluation with exact character offset validation,char_2997:3181
EVT-IMCA-0185,iogp_rules,Work authorization; Working at height,Working at height,Two-pass semantic re-evaluation with exact character offset validation,char_3078:3087
EVT-IMCA-0186,iogp_rules,Line of fire; Work authorization,Bypassing safety controls; Line of fire,Two-pass semantic re-evaluation with exact character offset validation,char_1761:1935
EVT-IMCA-0190,iogp_rules,Energy isolation; Hot work; Work authorization; Working at height,Energy isolation; Hot work; Work authorization,Two-pass semantic re-evaluation with exact character offset validation,char_2898:3149
EVT-IMCA-0192,iogp_rules,Energy isolation; Line of fire; Work authorization,Bypassing safety controls; Line of fire; Work authorization,Two-pass semantic re-evaluation with exact character offset validation,char_3945:4155
EVT-IMCA-0193,iogp_rules,Line of fire,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_0:22
EVT-IMCA-0195,iogp_rules,Hot work; Safe mechanical lifting,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_1088:1093
EVT-IMCA-0197,iogp_rules,Safe mechanical lifting,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_0:131
EVT-IMCA-0198,iogp_rules,Line of fire,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_1753:1767
EVT-IMCA-0200,iogp_rules,Safe mechanical lifting; Safe mechanical lifting; Work authorization; Working at height,Working at height,Two-pass semantic re-evaluation with exact character offset validation,char_828:835
EVT-IMCA-0209,iogp_rules,Work authorization; Working at height,Working at height,Two-pass semantic re-evaluation with exact character offset validation,char_355:361
EVT-IMCA-0210,iogp_rules,NONE,Bypassing safety controls,Two-pass semantic re-evaluation with exact character offset validation,char_2226:2387
EVT-IMCA-0214,iogp_rules,Safe mechanical lifting; Work authorization,Safe mechanical lifting,Two-pass semantic re-evaluation with exact character offset validation,char_907:913
EVT-IMCA-0215,iogp_rules,Safe mechanical lifting,NONE,Two-pass semantic re-evaluation with exact character offset validation,NONE
EVT-IMCA-0216,iogp_rules,Line of fire; Safe mechanical lifting,Bypassing safety controls; Line of fire; Safe mechanical lifting,Two-pass semantic re-evaluation with exact character offset validation,char_2349:2547
EVT-IMCA-0217,iogp_rules,Hot work,Bypassing safety controls; Hot work,Two-pass semantic re-evaluation with exact character offset validation,char_3707:3868
EVT-IMCA-0219,iogp_rules,Work authorization; Working at height,Bypassing safety controls; Work authorization; Working at height,Two-pass semantic re-evaluation with exact character offset validation,char_1524:1703
EVT-IMCA-0220,iogp_rules,Work authorization,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_2014:2023
EVT-IMCA-0221,iogp_rules,Line of fire,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_2874:2884
EVT-IMCA-0222,iogp_rules,Line of fire; Safe mechanical lifting; Work authorization,Line of fire,Two-pass semantic re-evaluation with exact character offset validation,char_3218:3230
EVT-IMCA-0223,iogp_rules,Safe mechanical lifting; Line of fire; Safe mechanical lifting; Work authorization,Line of fire; Safe mechanical lifting,Two-pass semantic re-evaluation with exact character offset validation,char_2440:2694
EVT-IMCA-0224,iogp_rules,Confined space; Line of fire; Safe mechanical lifting,Confined space; Line of fire,Two-pass semantic re-evaluation with exact character offset validation,char_2604:2610
EVT-IMCA-0226,iogp_rules,Safe mechanical lifting; Line of fire; Safe mechanical lifting,Bypassing safety controls; Line of fire,Two-pass semantic re-evaluation with exact character offset validation,char_1843:2017
EVT-IMCA-0227,iogp_rules,Safe mechanical lifting; Line of fire; Safe mechanical lifting,Line of fire,Two-pass semantic re-evaluation with exact character offset validation,char_319:452
EVT-IMCA-0230,iogp_rules,Work authorization,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_1304:1319
EVT-IMCA-0232,iogp_rules,Line of fire; Safe mechanical lifting,Safe mechanical lifting,Two-pass semantic re-evaluation with exact character offset validation,char_0:135
EVT-IMCA-0236,iogp_rules,Energy isolation,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_439:447
EVT-IMCA-0238,iogp_rules,Safe mechanical lifting; Work authorization,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_1334:1340
EVT-IMCA-0240,iogp_rules,Line of fire; Safe mechanical lifting,Line of fire,Two-pass semantic re-evaluation with exact character offset validation,char_1784:1793
EVT-IMCA-0241,iogp_rules,Working at height,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_42:228
EVT-IMCA-0242,iogp_rules,Work authorization,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_860:866
EVT-IMCA-0243,iogp_rules,Safe mechanical lifting; Work authorization; Working at height,Bypassing safety controls; Working at height,Two-pass semantic re-evaluation with exact character offset validation,char_2532:2693
EVT-IMCA-0244,iogp_rules,Safe mechanical lifting,NONE,Two-pass semantic re-evaluation with exact character offset validation,NONE
EVT-IMCA-0245,iogp_rules,Safe mechanical lifting; Hot work; Line of fire; Safe mechanical lifting,Line of fire,Two-pass semantic re-evaluation with exact character offset validation,char_0:136
EVT-IMCA-0246,iogp_rules,Work authorization,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_1291:1299
EVT-IMCA-0247,iogp_rules,Confined space; Work authorization,Bypassing safety controls; Confined space; Work authorization,Two-pass semantic re-evaluation with exact character offset validation,char_3337:3469
EVT-IMCA-0248,iogp_rules,Driving; Energy isolation; Line of fire; Safe mechanical lifting,Driving; Line of fire,Two-pass semantic re-evaluation with exact character offset validation,char_2584:2589
EVT-IMCA-0249,iogp_rules,Line of fire; Safe mechanical lifting,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_536:541
EVT-IMCA-0250,iogp_rules,Work authorization,Bypassing safety controls; Driving; Work authorization,Two-pass semantic re-evaluation with exact character offset validation,char_5013:5022
EVT-IMCA-0252,iogp_rules,Safe mechanical lifting; Line of fire; Safe mechanical lifting; Work authorization,Bypassing safety controls; Line of fire; Work authorization,Two-pass semantic re-evaluation with exact character offset validation,char_3185:3359
EVT-IMCA-0253,iogp_rules,Line of fire; Safe mechanical lifting,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_2049:2057
EVT-IMCA-0254,iogp_rules,Line of fire; Work authorization,Work authorization,Two-pass semantic re-evaluation with exact character offset validation,char_760:772
EVT-IMCA-0255,iogp_rules,Line of fire; Safe mechanical lifting,Safe mechanical lifting,Two-pass semantic re-evaluation with exact character offset validation,char_733:738
EVT-IMCA-0256,iogp_rules,Safe mechanical lifting; Working at height,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_0:114
EVT-IMCA-0257,iogp_rules,Energy isolation,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_2074:2084
EVT-IMCA-0258,iogp_rules,Confined space; Hot work; Work authorization; Working at height,Bypassing safety controls; Confined space; Hot work; Working at height,Two-pass semantic re-evaluation with exact character offset validation,char_2895:3065
EVT-IMCA-0259,iogp_rules,Line of fire; Work authorization,Line of fire,Two-pass semantic re-evaluation with exact character offset validation,char_2191:2339
EVT-IMCA-0260,iogp_rules,Safe mechanical lifting; Energy isolation; Line of fire; Safe mechanical lifting; Work authorization,Bypassing safety controls; Energy isolation; Line of fire; Work authorization,Two-pass semantic re-evaluation with exact character offset validation,char_3901:4111
EVT-IMCA-0261,iogp_rules,Line of fire; Work authorization,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_1055:1070
EVT-IMCA-0262,iogp_rules,Line of fire; Work authorization,Bypassing safety controls; Line of fire,Two-pass semantic re-evaluation with exact character offset validation,char_2664:2838
EVT-IMCA-0263,iogp_rules,Hot work; Line of fire; Working at height,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_387:393
EVT-IMCA-0264,iogp_rules,Energy isolation; Safe mechanical lifting,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_3387:3396
EVT-IMCA-0265,iogp_rules,Safe mechanical lifting,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_2990:2995
EVT-IMCA-0266,iogp_rules,Work authorization,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_2638:2653
EVT-IMCA-0267,iogp_rules,NONE,Bypassing safety controls,Two-pass semantic re-evaluation with exact character offset validation,char_2393:2554
EVT-IMCA-0268,iogp_rules,Safe mechanical lifting; Line of fire; Safe mechanical lifting; Work authorization,Line of fire,Two-pass semantic re-evaluation with exact character offset validation,char_2002:2011
EVT-IMCA-0272,iogp_rules,Safe mechanical lifting; Line of fire; Safe mechanical lifting,Line of fire,Two-pass semantic re-evaluation with exact character offset validation,char_2310:2482
EVT-IMCA-0274,iogp_rules,Safe mechanical lifting; Line of fire; Safe mechanical lifting,Line of fire,Two-pass semantic re-evaluation with exact character offset validation,char_998:1007
EVT-IMCA-0275,iogp_rules,Line of fire; Safe mechanical lifting; Working at height,Line of fire,Two-pass semantic re-evaluation with exact character offset validation,char_1286:1298
EVT-IMCA-0278,iogp_rules,Line of fire; Work authorization; Working at height,Work authorization; Working at height,Two-pass semantic re-evaluation with exact character offset validation,char_962:1108
EVT-IMCA-0279,iogp_rules,Safe mechanical lifting; Work authorization,Safe mechanical lifting,Two-pass semantic re-evaluation with exact character offset validation,char_2905:2914
EVT-IMCA-0281,iogp_rules,Work authorization; Working at height,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_908:917
EVT-IMCA-0282,iogp_rules,Line of fire; Safe mechanical lifting; Work authorization,Line of fire,Two-pass semantic re-evaluation with exact character offset validation,char_976:988
EVT-IMCA-0283,iogp_rules,Safe mechanical lifting,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_0:125
EVT-IMCA-0284,iogp_rules,Confined space; Hot work,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_0:79
EVT-IMCA-0285,iogp_rules,Confined space; Hot work; Work authorization; Working at height,Bypassing safety controls; Confined space; Hot work; Work authorization; Working at height,Two-pass semantic re-evaluation with exact character offset validation,char_2375:2588
EVT-IMCA-0288,iogp_rules,NONE,Driving,Two-pass semantic re-evaluation with exact character offset validation,char_374:519
EVT-IMCA-0289,iogp_rules,Safe mechanical lifting,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_1626:1634
EVT-IMCA-0290,iogp_rules,Line of fire,Bypassing safety controls; Line of fire,Two-pass semantic re-evaluation with exact character offset validation,char_2817:2978
EVT-IMCA-0291,iogp_rules,Safe mechanical lifting,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_2437:2443
EVT-IMCA-0292,iogp_rules,Safe mechanical lifting; Working at height,Working at height,Two-pass semantic re-evaluation with exact character offset validation,char_342:591
EVT-IMCA-0294,iogp_rules,Safe mechanical lifting; Line of fire; Safe mechanical lifting,Safe mechanical lifting,Two-pass semantic re-evaluation with exact character offset validation,char_2103:2109
EVT-IMCA-0296,iogp_rules,Driving; Line of fire; Safe mechanical lifting; Work authorization,Driving; Safe mechanical lifting,Two-pass semantic re-evaluation with exact character offset validation,char_1940:1945
EVT-IMCA-0297,iogp_rules,Safe mechanical lifting,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_327:576
EVT-IMCA-0298,iogp_rules,Energy isolation; Safe mechanical lifting,Energy isolation,Two-pass semantic re-evaluation with exact character offset validation,char_2102:2111
EVT-IMCA-0299,iogp_rules,Line of fire; Safe mechanical lifting; Work authorization,Line of fire,Two-pass semantic re-evaluation with exact character offset validation,char_3640:3788
EVT-IMCA-0300,iogp_rules,Safe mechanical lifting,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_1818:1824
EVT-IMCA-0302,iogp_rules,Safe mechanical lifting,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_0:124
EVT-IMCA-0304,iogp_rules,Safe mechanical lifting,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_0:178
EVT-IMCA-0306,iogp_rules,Safe mechanical lifting,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_0:121
EVT-IMCA-0312,iogp_rules,Safe mechanical lifting,NONE,Two-pass semantic re-evaluation with exact character offset validation,NONE
EVT-IMCA-0319,iogp_rules,Driving,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_0:91
EVT-IMCA-0322,iogp_rules,Safe mechanical lifting,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_0:119
EVT-IMCA-0327,iogp_rules,Line of fire,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_0:49
EVT-IMCA-0333,iogp_rules,Working at height,NONE,Two-pass semantic re-evaluation with exact character offset validation,char_0:74
